track,year,indicator,countries_in_scope,countries_computable,coverage_pct
extended_experimental,2021,IHLI,217,110,50.69
extended_experimental,2021,ILI,217,113,52.07
extended_experimental,2021,LI,217,199,91.71
extended_experimental,2022,HLI,217,0,0.0
extended_experimental,2022,IHLI,217,0,0.0
extended_experimental,2022,ILI,217,102,47.0
extended_experimental,2022,LI,217,199,91.71
extended_experimental,2023,HLI,217,0,0.0
extended_experimental,2023,IHLI,217,0,0.0
extended_experimental,2023,ILI,217,73,33.64
extended_experimental,2023,LI,217,197,90.78
extended_experimental,2024,HLI,217,0,0.0
extended_experimental,2024,IHLI,217,0,0.0
extended_experimental,2024,ILI,217,0,0.0
extended_experimental,2024,LI,217,0,0.0
official_clean,1990,HLI,217,0,0.0
official_clean,1990,IHLI,217,0,0.0
official_clean,1990,ILI,217,23,10.6
official_clean,1990,LI,217,185,85.25
official_clean,1991,HLI,217,0,0.0
official_clean,1991,IHLI,217,0,0.0
official_clean,1991,ILI,217,23,10.6
official_clean,1991,LI,217,186,85.71
official_clean,1992,HLI,217,0,0.0
official_clean,1992,IHLI,217,0,0.0
official_clean,1992,ILI,217,40,18.43
official_clean,1992,LI,217,186,85.71
official_clean,1993,HLI,217,0,0.0
official_clean,1993,IHLI,217,0,0.0
official_clean,1993,ILI,217,36,16.59
official_clean,1993,LI,217,186,85.71
official_clean,1994,HLI,217,0,0.0
official_clean,1994,IHLI,217,0,0.0
official_clean,1994,ILI,217,31,14.29
official_clean,1994,LI,217,187,86.18
official_clean,1995,HLI,217,0,0.0
official_clean,1995,IHLI,217,0,0.0
official_clean,1995,ILI,217,46,21.2
official_clean,1995,LI,217,188,86.64
official_clean,1996,HLI,217,0,0.0
official_clean,1996,IHLI,217,0,0.0
official_clean,1996,ILI,217,43,19.82
official_clean,1996,LI,217,188,86.64
official_clean,1997,HLI,217,0,0.0
official_clean,1997,IHLI,217,0,0.0
official_clean,1997,ILI,217,36,16.59
official_clean,1997,LI,217,190,87.56
official_clean,1998,HLI,217,0,0.0
official_clean,1998,IHLI,217,0,0.0
official_clean,1998,ILI,217,52,23.96
official_clean,1998,LI,217,190,87.56
official_clean,1999,HLI,217,0,0.0
official_clean,1999,IHLI,217,0,0.0
official_clean,1999,ILI,217,44,20.28
official_clean,1999,LI,217,190,87.56
official_clean,2000,HLI,217,178,82.03
official_clean,2000,IHLI,217,57,26.27
official_clean,2000,ILI,217,57,26.27
official_clean,2000,LI,217,192,88.48
official_clean,2001,HLI,217,178,82.03
official_clean,2001,IHLI,217,47,21.66
official_clean,2001,ILI,217,47,21.66
official_clean,2001,LI,217,192,88.48
official_clean,2002,HLI,217,178,82.03
official_clean,2002,IHLI,217,67,30.88
official_clean,2002,ILI,217,67,30.88
official_clean,2002,LI,217,193,88.94
official_clean,2003,HLI,217,178,82.03
official_clean,2003,IHLI,217,68,31.34
official_clean,2003,ILI,217,68,31.34
official_clean,2003,LI,217,193,88.94
official_clean,2004,HLI,217,178,82.03
official_clean,2004,IHLI,217,75,34.56
official_clean,2004,ILI,217,75,34.56
official_clean,2004,LI,217,193,88.94
official_clean,2005,HLI,217,178,82.03
official_clean,2005,IHLI,217,78,35.94
official_clean,2005,ILI,217,78,35.94
official_clean,2005,LI,217,193,88.94
official_clean,2006,HLI,217,178,82.03
official_clean,2006,IHLI,217,80,36.87
official_clean,2006,ILI,217,80,36.87
official_clean,2006,LI,217,194,89.4
official_clean,2007,HLI,217,178,82.03
official_clean,2007,IHLI,217,72,33.18
official_clean,2007,ILI,217,72,33.18
official_clean,2007,LI,217,195,89.86
official_clean,2008,HLI,217,178,82.03
official_clean,2008,IHLI,217,79,36.41
official_clean,2008,ILI,217,79,36.41
official_clean,2008,LI,217,197,90.78
official_clean,2009,HLI,217,178,82.03
official_clean,2009,IHLI,217,81,37.33
official_clean,2009,ILI,217,82,37.79
official_clean,2009,LI,217,198,91.24
official_clean,2010,HLI,217,178,82.03
official_clean,2010,IHLI,217,84,38.71
official_clean,2010,ILI,217,86,39.63
official_clean,2010,LI,217,198,91.24
official_clean,2011,HLI,217,178,82.03
official_clean,2011,IHLI,217,81,37.33
official_clean,2011,ILI,217,82,37.79
official_clean,2011,LI,217,198,91.24
official_clean,2012,HLI,217,178,82.03
official_clean,2012,IHLI,217,84,38.71
official_clean,2012,ILI,217,86,39.63
official_clean,2012,LI,217,198,91.24
official_clean,2013,HLI,217,179,82.49
official_clean,2013,IHLI,217,76,35.02
official_clean,2013,ILI,217,77,35.48
official_clean,2013,LI,217,199,91.71
official_clean,2014,HLI,217,179,82.49
official_clean,2014,IHLI,217,82,37.79
official_clean,2014,ILI,217,83,38.25
official_clean,2014,LI,217,199,91.71
official_clean,2015,HLI,217,179,82.49
official_clean,2015,IHLI,217,85,39.17
official_clean,2015,ILI,217,86,39.63
official_clean,2015,LI,217,199,91.71
official_clean,2016,HLI,217,179,82.49
official_clean,2016,IHLI,217,81,37.33
official_clean,2016,ILI,217,82,37.79
official_clean,2016,LI,217,199,91.71
official_clean,2017,HLI,217,179,82.49
official_clean,2017,IHLI,217,77,35.48
official_clean,2017,ILI,217,78,35.94
official_clean,2017,LI,217,199,91.71
official_clean,2018,HLI,217,179,82.49
official_clean,2018,IHLI,217,92,42.4
official_clean,2018,ILI,217,93,42.86
official_clean,2018,LI,217,199,91.71
official_clean,2019,HLI,217,179,82.49
official_clean,2019,IHLI,217,76,35.02
official_clean,2019,ILI,217,78,35.94
official_clean,2019,LI,217,199,91.71
official_clean,2020,HLI,217,179,82.49
official_clean,2020,IHLI,217,68,31.34
official_clean,2020,ILI,217,69,31.8
official_clean,2020,LI,217,199,91.71
official_clean,2021,HLI,217,179,82.49
official_clean,2021,IHLI,217,78,35.94
official_clean,2021,ILI,217,79,36.41
official_clean,2021,LI,217,199,91.71
official_clean,2022,HLI,217,0,0.0
official_clean,2022,IHLI,217,0,0.0
official_clean,2022,ILI,217,69,31.8
official_clean,2022,LI,217,199,91.71
official_clean,2023,HLI,217,0,0.0
official_clean,2023,IHLI,217,0,0.0
official_clean,2023,ILI,217,53,24.42
official_clean,2023,LI,217,197,90.78
official_clean,2024,HLI,217,0,0.0
official_clean,2024,IHLI,217,0,0.0
official_clean,2024,ILI,217,0,0.0
official_clean,2024,LI,217,0,0.0
